scenario_id,stack,model,mode,thinking,cache_strategy,prompt_type,samples,ok_count,unsupported_count,error_count,ttft_p50_s,ttft_p95_s,ttft_p99_s,e2e_p50_s,e2e_p95_s,e2e_p99_s,tokens_per_s_avg,unsupported_reason_example,error_example
google_genai|gemini-2.5-flash|streaming|thinking_True|cache_implicit_reuse|short_prompt,google_genai,gemini-2.5-flash,streaming,True,implicit_reuse,short_prompt,1,1,0,0,1.7314394410000205,1.7314394410000205,1.7314394410000205,1.731571389000237,1.731571389000237,1.731571389000237,1.732530358873693,,
google_genai|gemini-2.5-flash|streaming|thinking_True|cache_implicit_reuse|long_context,google_genai,gemini-2.5-flash,streaming,True,implicit_reuse,long_context,1,1,0,0,1.7896127660001184,1.7896127660001184,1.7896127660001184,1.7897570969998924,1.7897570969998924,1.7897570969998924,2.234940152887261,,
openai_compat|gemini-2.5-flash|streaming|thinking_True|cache_implicit_reuse|short_prompt,openai_compat,gemini-2.5-flash,streaming,True,implicit_reuse,short_prompt,1,1,0,0,1.8418659610001669,1.8418659610001669,1.8418659610001669,1.8420731710002656,1.8420731710002656,1.8420731710002656,1.6285998011528324,,
google_genai|gemini-2.5-flash|streaming|thinking_True|cache_none|long_context,google_genai,gemini-2.5-flash,streaming,True,none,long_context,1,1,0,0,1.8497509519997948,1.8497509519997948,1.8497509519997948,1.8498740830000315,1.8498740830000315,1.8498740830000315,2.162309335948425,,
google_genai|gemini-2.5-flash|streaming|thinking_False|cache_implicit_reuse|long_context,google_genai,gemini-2.5-flash,streaming,False,implicit_reuse,long_context,1,1,0,0,1.939876670999638,1.939876670999638,1.939876670999638,1.9400188679996972,1.9400188679996972,1.9400188679996972,2.061835617157835,,
google_genai|gemini-2.5-flash|streaming|thinking_False|cache_none|long_context,google_genai,gemini-2.5-flash,streaming,False,none,long_context,1,1,0,0,1.9802483329999632,1.9802483329999632,1.9802483329999632,1.9804107079999085,1.9804107079999085,1.9804107079999085,2.0197830600702775,,
openai_compat|gemini-2.5-flash|streaming|thinking_False|cache_none|short_prompt,openai_compat,gemini-2.5-flash,streaming,False,none,short_prompt,1,1,0,0,1.9802711689999342,1.9802711689999342,1.9802711689999342,1.9806346119999034,1.9806346119999034,1.9806346119999034,1.5146660478536291,,
openai_compat|gemini-2.5-flash|streaming|thinking_False|cache_implicit_reuse|short_prompt,openai_compat,gemini-2.5-flash,streaming,False,implicit_reuse,short_prompt,1,1,0,0,1.9949563889999808,1.9949563889999808,1.9949563889999808,1.9955849100001615,1.9955849100001615,1.9955849100001615,1.5033186435548649,,
google_genai|gemini-2.5-flash|streaming|thinking_True|cache_none|short_prompt,google_genai,gemini-2.5-flash,streaming,True,none,short_prompt,1,1,0,0,2.0414316189999226,2.0414316189999226,2.0414316189999226,2.041555290999895,2.041555290999895,2.041555290999895,1.4694679165562479,,
openai_compat|gemini-2.5-flash|streaming|thinking_True|cache_none|short_prompt,openai_compat,gemini-2.5-flash,streaming,True,none,short_prompt,1,1,0,0,2.124960654000006,2.124960654000006,2.124960654000006,2.1251809789996514,2.1251809789996514,2.1251809789996514,1.4116444809383417,,
openai_compat|gemini-2.5-flash|streaming|thinking_True|cache_implicit_reuse|long_context,openai_compat,gemini-2.5-flash,streaming,True,implicit_reuse,long_context,1,1,0,0,2.1442190379998465,2.1442190379998465,2.1442190379998465,2.1444668149997597,2.1444668149997597,2.1444668149997597,1.3989491369211682,,
openai_compat|gemini-2.5-flash|streaming|thinking_True|cache_none|long_context,openai_compat,gemini-2.5-flash,streaming,True,none,long_context,1,1,0,0,2.152081459999863,2.152081459999863,2.152081459999863,2.152325208000093,2.152325208000093,2.152325208000093,1.8584552116623387,,
google_genai|gemini-2.5-flash|streaming|thinking_False|cache_none|short_prompt,google_genai,gemini-2.5-flash,streaming,False,none,short_prompt,1,1,0,0,2.3550208860001476,2.3550208860001476,2.3550208860001476,2.3551354310002353,2.3551354310002353,2.3551354310002353,1.2738120961162256,,
openai_compat|gemini-2.5-flash|streaming|thinking_False|cache_none|long_context,openai_compat,gemini-2.5-flash,streaming,False,none,long_context,1,1,0,0,2.362462983000114,2.362462983000114,2.362462983000114,2.362679459999981,2.362679459999981,2.362679459999981,1.269744817606373,,
google_genai|gemini-2.5-flash|streaming|thinking_False|cache_implicit_reuse|short_prompt,google_genai,gemini-2.5-flash,streaming,False,implicit_reuse,short_prompt,1,1,0,0,2.4566738250000526,2.4566738250000526,2.4566738250000526,2.4568071850003435,2.4568071850003435,2.4568071850003435,1.2210970475485567,,
openai_compat|gemini-2.5-flash|streaming|thinking_False|cache_implicit_reuse|long_context,openai_compat,gemini-2.5-flash,streaming,False,implicit_reuse,long_context,1,1,0,0,64.4411415909999,64.4411415909999,64.4411415909999,64.44603021900002,64.44603021900002,64.44603021900002,0.031033719116656446,,
google_genai|gemini-2.5-flash|streaming|thinking_False|cache_explicit_cache|short_prompt,google_genai,gemini-2.5-flash,streaming,False,explicit_cache,short_prompt,1,0,1,0,,,,,,,,no_shared_prefix_for_explicit_cache,
google_genai|gemini-2.5-flash|streaming|thinking_False|cache_explicit_cache|long_context,google_genai,gemini-2.5-flash,streaming,False,explicit_cache,long_context,1,0,1,0,,,,,,,,explicit_cache_create_failed:ClientError,
google_genai|gemini-2.5-flash|streaming|thinking_True|cache_explicit_cache|short_prompt,google_genai,gemini-2.5-flash,streaming,True,explicit_cache,short_prompt,1,0,1,0,,,,,,,,no_shared_prefix_for_explicit_cache,
google_genai|gemini-2.5-flash|streaming|thinking_True|cache_explicit_cache|long_context,google_genai,gemini-2.5-flash,streaming,True,explicit_cache,long_context,1,0,1,0,,,,,,,,explicit_cache_create_failed:ClientError,
openai_compat|gemini-2.5-flash|streaming|thinking_False|cache_explicit_cache|short_prompt,openai_compat,gemini-2.5-flash,streaming,False,explicit_cache,short_prompt,1,0,1,0,,,,,,,,explicit_cache_not_supported_on_openai_compat_adapter,
openai_compat|gemini-2.5-flash|streaming|thinking_False|cache_explicit_cache|long_context,openai_compat,gemini-2.5-flash,streaming,False,explicit_cache,long_context,1,0,1,0,,,,,,,,explicit_cache_not_supported_on_openai_compat_adapter,
openai_compat|gemini-2.5-flash|streaming|thinking_True|cache_explicit_cache|short_prompt,openai_compat,gemini-2.5-flash,streaming,True,explicit_cache,short_prompt,1,0,1,0,,,,,,,,explicit_cache_not_supported_on_openai_compat_adapter,
openai_compat|gemini-2.5-flash|streaming|thinking_True|cache_explicit_cache|long_context,openai_compat,gemini-2.5-flash,streaming,True,explicit_cache,long_context,1,0,1,0,,,,,,,,explicit_cache_not_supported_on_openai_compat_adapter,
